Area (full name),Age (orig units),Synaptic density units,Cortical volume,Synaptic density (orig units),species,area,age_pcd,syn_dens_per_um3_neuropil,syn_dens_pct_max,source,area_vol,plot
Prefrontal (10),0.03,synapses per 100um^3 neuropil,neuropil,4.94,chimp,prefrontal,249,4.94,32.9,Bianchi 2013,prefrontal,yes
Prefrontal (10),0.03,synapses per 100um^3 neuropil,neuropil,7.21,chimp,prefrontal,248,7.21,47.99,Bianchi 2013,prefrontal,yes
Prefrontal (10),0.03,synapses per 100um^3 neuropil,neuropil,7.49,chimp,prefrontal,248,7.49,49.9,Bianchi 2013,prefrontal,yes
Prefrontal (10),0.04,synapses per 100um^3 neuropil,neuropil,8.21,chimp,prefrontal,251,8.21,54.67,Bianchi 2013,prefrontal,yes
Prefrontal (10),0,synapses per 100um^3 neuropil,neuropil,9.39,chimp,prefrontal,238,9.39,62.5,Bianchi 2013,prefrontal,yes
Prefrontal (10),0,synapses per 100um^3 neuropil,neuropil,11.75,chimp,prefrontal,237,11.75,78.26,Bianchi 2013,prefrontal,yes
Prefrontal (10),1.08,synapses per 100um^3 neuropil,neuropil,13.23,chimp,prefrontal,633,13.23,88.07,Bianchi 2013,prefrontal,yes
Prefrontal (10),1.56,synapses per 100um^3 neuropil,neuropil,15.02,chimp,prefrontal,806,15.02,100,Bianchi 2013,prefrontal,yes
Prefrontal (10),2.02,synapses per 100um^3 neuropil,neuropil,9.67,chimp,prefrontal,975,9.67,64.37,Bianchi 2013,prefrontal,yes
Prefrontal (10),4.99,synapses per 100um^3 neuropil,neuropil,10.38,chimp,prefrontal,2059,10.38,69.09,Bianchi 2013,prefrontal,yes
Prefrontal (10),5.45,synapses per 100um^3 neuropil,neuropil,14.52,chimp,prefrontal,2225,14.52,96.68,Bianchi 2013,prefrontal,yes
Prefrontal (10),6.02,synapses per 100um^3 neuropil,neuropil,13.71,chimp,prefrontal,2436,13.71,91.32,Bianchi 2013,prefrontal,yes
Prefrontal (10),9.95,synapses per 100um^3 neuropil,neuropil,14.21,chimp,prefrontal,3867,14.21,94.59,Bianchi 2013,prefrontal,yes
Prefrontal (10),9.99,synapses per 100um^3 neuropil,neuropil,11.18,chimp,prefrontal,3884,11.18,74.44,Bianchi 2013,prefrontal,yes
Prefrontal (10),9.96,synapses per 100um^3 neuropil,neuropil,12.44,chimp,prefrontal,3871,12.44,82.84,Bianchi 2013,prefrontal,yes
Prefrontal (10),9.96,synapses per 100um^3 neuropil,neuropil,11.94,chimp,prefrontal,3871,11.94,79.5,Bianchi 2013,prefrontal,yes
Prefrontal (10),9.97,synapses per 100um^3 neuropil,neuropil,9.59,chimp,prefrontal,3875,9.59,63.84,Bianchi 2013,prefrontal,yes
Prefrontal (10),8.99,synapses per 100um^3 neuropil,neuropil,7.31,chimp,prefrontal,3520,7.31,48.68,Bianchi 2013,prefrontal,yes
Prestriate visual cortex (18),0,synapses per 100um^3 neuropil,neuropil,11.08,chimp,visual,237,11.08,60.39,Bianchi 2013,visual,yes
Prestriate visual cortex (18),0.03,synapses per 100um^3 neuropil,neuropil,7.88,chimp,visual,248,7.88,42.96,Bianchi 2013,visual,yes
Prestriate visual cortex (18),0.02,synapses per 100um^3 neuropil,neuropil,6.93,chimp,visual,245,6.93,37.8,Bianchi 2013,visual,yes
Prestriate visual cortex (18),0.01,synapses per 100um^3 neuropil,neuropil,5.46,chimp,visual,242,5.46,29.75,Bianchi 2013,visual,yes
Prestriate visual cortex (18),0.03,synapses per 100um^3 neuropil,neuropil,4.6,chimp,visual,249,4.6,25.06,Bianchi 2013,visual,yes
Prestriate visual cortex (18),0.95,synapses per 100um^3 neuropil,neuropil,17.89,chimp,visual,584,17.89,97.51,Bianchi 2013,visual,yes
Prestriate visual cortex (18),1.48,synapses per 100um^3 neuropil,neuropil,18.35,chimp,visual,776,18.35,100,Bianchi 2013,visual,yes
Prestriate visual cortex (18),5.44,synapses per 100um^3 neuropil,neuropil,16.7,chimp,visual,2224,16.7,91.03,Bianchi 2013,visual,yes
Prestriate visual cortex (18),2.02,synapses per 100um^3 neuropil,neuropil,10.26,chimp,visual,975,10.26,55.9,Bianchi 2013,visual,yes
Prestriate visual cortex (18),4.98,synapses per 100um^3 neuropil,neuropil,12.56,chimp,visual,2055,12.56,68.44,Bianchi 2013,visual,yes
Prestriate visual cortex (18),6.02,synapses per 100um^3 neuropil,neuropil,15.26,chimp,visual,2435,15.26,83.2,Bianchi 2013,visual,yes
Prestriate visual cortex (18),8.97,synapses per 100um^3 neuropil,neuropil,11.56,chimp,visual,3512,11.56,62.99,Bianchi 2013,visual,yes
Prestriate visual cortex (18),10.01,synapses per 100um^3 neuropil,neuropil,7.98,chimp,visual,3891,7.98,43.51,Bianchi 2013,visual,yes
Prestriate visual cortex (18),10,synapses per 100um^3 neuropil,neuropil,7.21,chimp,visual,3886,7.21,39.29,Bianchi 2013,visual,yes
Prestriate visual cortex (18),10.01,synapses per 100um^3 neuropil,neuropil,6.71,chimp,visual,3889,6.71,36.55,Bianchi 2013,visual,yes
Prestriate visual cortex (18),10.04,synapses per 100um^3 neuropil,neuropil,4.87,chimp,visual,3902,4.87,26.54,Bianchi 2013,visual,yes
S1 (3b),0.03,synapses per 100um^3 neuropil,neuropil,4,chimp,sensory,249,4,22.3,Bianchi 2013,sensory,yes
S1 (3b),0.03,synapses per 100um^3 neuropil,neuropil,5,chimp,sensory,249,5,26.97,Bianchi 2013,sensory,yes
S1 (3b),0.02,synapses per 100um^3 neuropil,neuropil,6,chimp,sensory,244,6,31.52,Bianchi 2013,sensory,yes
S1 (3b),0.02,synapses per 100um^3 neuropil,neuropil,10,chimp,sensory,244,10,52.32,Bianchi 2013,sensory,yes
S1 (3b),0.01,synapses per 100um^3 neuropil,neuropil,13,chimp,sensory,239,13,63.79,Bianchi 2013,sensory,yes
S1 (3b),1.06,synapses per 100um^3 neuropil,neuropil,10,chimp,sensory,625,10,50.86,Bianchi 2013,sensory,yes
S1 (3b),1.48,synapses per 100um^3 neuropil,neuropil,20,chimp,sensory,777,20,100,Bianchi 2013,sensory,yes
S1 (3b),2.03,synapses per 100um^3 neuropil,neuropil,9,chimp,sensory,977,9,47.6,Bianchi 2013,sensory,yes
S1 (3b),5.45,synapses per 100um^3 neuropil,neuropil,10,chimp,sensory,2226,10,51.09,Bianchi 2013,sensory,yes
S1 (3b),4.97,synapses per 100um^3 neuropil,neuropil,12,chimp,sensory,2050,12,62.56,Bianchi 2013,sensory,yes
S1 (3b),6.03,synapses per 100um^3 neuropil,neuropil,11,chimp,sensory,2438,11,54.91,Bianchi 2013,sensory,yes
S1 (3b),8.99,synapses per 100um^3 neuropil,neuropil,10,chimp,sensory,3518,10,48.56,Bianchi 2013,sensory,yes
S1 (3b),10.04,synapses per 100um^3 neuropil,neuropil,6,chimp,sensory,3901,6,32.93,Bianchi 2013,sensory,yes
S1 (3b),10.04,synapses per 100um^3 neuropil,neuropil,5,chimp,sensory,3901,5,26.86,Bianchi 2013,sensory,yes
S1 (3b),10.01,synapses per 100um^3 neuropil,neuropil,8,chimp,sensory,3892,8,42.54,Bianchi 2013,sensory,yes
S1 (3b),9.95,synapses per 100um^3 neuropil,neuropil,13,chimp,sensory,3870,13,66.04,Bianchi 2013,sensory,yes
M1 (4),0.02,synapses per 100um^3 neuropil,neuropil,6,chimp,motor,244,6,30.2,Bianchi 2013,motor,yes
M1 (4),0.03,synapses per 100um^3 neuropil,neuropil,7,chimp,motor,249,7,34.56,Bianchi 2013,motor,yes
M1 (4),0.01,synapses per 100um^3 neuropil,neuropil,9,chimp,motor,242,9,44.91,Bianchi 2013,motor,yes
M1 (4),0.01,synapses per 100um^3 neuropil,neuropil,10,chimp,motor,239,10,51.07,Bianchi 2013,motor,yes
M1 (4),0.02,synapses per 100um^3 neuropil,neuropil,10,chimp,motor,244,10,55.37,Bianchi 2013,motor,yes
M1 (4),1.1,synapses per 100um^3 neuropil,neuropil,13,chimp,motor,637,13,67.8,Bianchi 2013,motor,yes
M1 (4),1.48,synapses per 100um^3 neuropil,neuropil,19,chimp,motor,777,19,100,Bianchi 2013,motor,yes
M1 (4),2.02,synapses per 100um^3 neuropil,neuropil,10,chimp,motor,975,10,52.17,Bianchi 2013,motor,yes
M1 (4),5.04,synapses per 100um^3 neuropil,neuropil,9,chimp,motor,2076,9,50.08,Bianchi 2013,motor,yes
M1 (4),6.01,synapses per 100um^3 neuropil,neuropil,12,chimp,motor,2431,12,63.39,Bianchi 2013,motor,yes
M1 (4),5.46,synapses per 100um^3 neuropil,neuropil,17,chimp,motor,2231,17,89.6,Bianchi 2013,motor,yes
M1 (4),8.99,synapses per 100um^3 neuropil,neuropil,7,chimp,motor,3518,7,37.81,Bianchi 2013,motor,yes
M1 (4),10.01,synapses per 100um^3 neuropil,neuropil,7,chimp,motor,3892,7,36.88,Bianchi 2013,motor,yes
M1 (4),10.02,synapses per 100um^3 neuropil,neuropil,8,chimp,motor,3894,8,39.79,Bianchi 2013,motor,yes
M1 (4),9.99,synapses per 100um^3 neuropil,neuropil,9,chimp,motor,3885,9,49.09,Bianchi 2013,motor,yes
M1 (4),10,synapses per 100um^3 neuropil,neuropil,11,chimp,motor,3887,11,60.48,Bianchi 2013,motor,yes
V1,194.46,synaptic density %max,neuropil,21,human,visual,194,NA,20.64,Rakic 1994,visual,no
V1,285.05,synaptic density %max,neuropil,44,human,visual,285,NA,43.58,Rakic 1994,visual,no
V1,344.44,synaptic density %max,neuropil,45,human,visual,344,NA,45.07,Rakic 1994,visual,no
V1,360.57,synaptic density %max,neuropil,55,human,visual,361,NA,54.69,Rakic 1994,visual,no
V1,393.3,synaptic density %max,neuropil,88,human,visual,393,NA,88.46,Rakic 1994,visual,no
V1,551.28,synaptic density %max,neuropil,100,human,visual,551,NA,100.12,Rakic 1994,visual,no
V1,636.84,synaptic density %max,neuropil,97,human,visual,637,NA,97.27,Rakic 1994,visual,no
V1,873.41,synaptic density %max,neuropil,86,human,visual,873,NA,85.58,Rakic 1994,visual,no
V1,1734.51,synaptic density %max,neuropil,78,human,visual,1735,NA,77.5,Rakic 1994,visual,no
V1,4267.34,synaptic density %max,neuropil,62,human,visual,4267,NA,62.23,Rakic 1994,visual,no
V1,9690.51,synaptic density %max,neuropil,62,human,visual,9691,NA,61.8,Rakic 1994,visual,no
V1,26159.28,synaptic density %max,neuropil,57,human,visual,26159,NA,57.02,Rakic 1994,visual,no
Prefrontal,284.79,synaptic density %max,neuropil,52,human,prefrontal,285,NA,51.79,Rakic 1994,prefrontal,no
Prefrontal,288.61,synaptic density %max,neuropil,69,human,prefrontal,289,NA,69.38,Rakic 1994,prefrontal,no
Prefrontal,335.11,synaptic density %max,neuropil,71,human,prefrontal,335,NA,71.27,Rakic 1994,prefrontal,no
Prefrontal,513.71,synaptic density %max,neuropil,79,human,prefrontal,514,NA,78.9,Rakic 1994,prefrontal,no
Prefrontal,456.57,synaptic density %max,neuropil,84,human,prefrontal,457,NA,84.03,Rakic 1994,prefrontal,no
Prefrontal,539.78,synaptic density %max,neuropil,89,human,prefrontal,540,NA,88.92,Rakic 1994,prefrontal,no
Prefrontal,687.26,synaptic density %max,neuropil,96,human,prefrontal,687,NA,95.69,Rakic 1994,prefrontal,no
Prefrontal,638.26,synaptic density %max,neuropil,100,human,prefrontal,638,NA,100.19,Rakic 1994,prefrontal,no
Prefrontal,2246.1,synaptic density %max,neuropil,96,human,prefrontal,2246,NA,95.79,Rakic 1994,prefrontal,no
Prefrontal,2942.73,synaptic density %max,neuropil,94,human,prefrontal,2943,NA,94.44,Rakic 1994,prefrontal,no
Prefrontal,6301.77,synaptic density %max,neuropil,66,human,prefrontal,6302,NA,66.08,Rakic 1994,prefrontal,no
Prefrontal,12990.43,synaptic density %max,neuropil,62,human,prefrontal,12990,NA,61.87,Rakic 1994,prefrontal,no
Prefrontal,19485.79,synaptic density %max,neuropil,73,human,prefrontal,19486,NA,72.74,Rakic 1994,prefrontal,no
Prefrontal,24859.17,synaptic density %max,neuropil,69,human,prefrontal,24859,NA,69.49,Rakic 1994,prefrontal,no
Prefrontal,25515.59,synaptic density %max,neuropil,66,human,prefrontal,25516,NA,65.62,Rakic 1994,prefrontal,no
Prefrontal,26781.52,synaptic density %max,neuropil,64,human,prefrontal,26782,NA,64.12,Rakic 1994,prefrontal,no
Prefrontal,23725.78,synaptic density %max,neuropil,61,human,prefrontal,23726,NA,61.37,Rakic 1994,prefrontal,no
Prefrontal,28841.69,synaptic density %max,neuropil,59,human,prefrontal,28842,NA,59.39,Rakic 1994,prefrontal,no
Prefrontal,29583.85,synaptic density %max,neuropil,57,human,prefrontal,29584,NA,56.62,Rakic 1994,prefrontal,no
Prefrontal,26690.03,synaptic density %max,neuropil,57,human,prefrontal,26690,NA,56.55,Rakic 1994,prefrontal,no
Prefrontal,20037.85,synaptic density %max,neuropil,52,human,prefrontal,20038,NA,52.38,Rakic 1994,prefrontal,no
Prefrontal,33563.55,synaptic density %max,neuropil,51,human,prefrontal,33564,NA,50.86,Rakic 1994,prefrontal,no
Prefrontal (area 9),138.92,synapses per 100um^2 neuropil,neuropil,3.44,macaque,prefrontal,139,NA,12.94,Rakic 1986,prefrontal,no
Prefrontal (area 9),106.32,synapses per 100um^2 neuropil,neuropil,0.8,macaque,prefrontal,106,NA,3.01,Rakic 1986,prefrontal,no
Prefrontal (area 9),106.25,synapses per 100um^2 neuropil,neuropil,1.74,macaque,prefrontal,106,NA,6.52,Rakic 1986,prefrontal,no
Prefrontal (area 9),137.87,synapses per 100um^2 neuropil,neuropil,7.82,macaque,prefrontal,138,NA,29.36,Rakic 1986,prefrontal,no
Prefrontal (area 9),164.72,synapses per 100um^2 neuropil,neuropil,15.53,macaque,prefrontal,165,NA,58.35,Rakic 1986,prefrontal,no
Prefrontal (area 9),176.03,synapses per 100um^2 neuropil,neuropil,15.97,macaque,prefrontal,176,NA,59.98,Rakic 1986,prefrontal,no
Prefrontal (area 9),164.22,synapses per 100um^2 neuropil,neuropil,16.43,macaque,prefrontal,164,NA,61.73,Rakic 1986,prefrontal,no
Prefrontal (area 9),176.75,synapses per 100um^2 neuropil,neuropil,17.34,macaque,prefrontal,177,NA,65.12,Rakic 1986,prefrontal,no
Prefrontal (area 9),176.17,synapses per 100um^2 neuropil,neuropil,18.71,macaque,prefrontal,176,NA,70.26,Rakic 1986,prefrontal,no
Prefrontal (area 9),226.99,synapses per 100um^2 neuropil,neuropil,24.09,macaque,prefrontal,227,NA,90.47,Rakic 1986,prefrontal,no
Prefrontal (area 9),225.52,synapses per 100um^2 neuropil,neuropil,26.62,macaque,prefrontal,226,NA,100,Rakic 1986,prefrontal,no
Prefrontal (area 9),296.06,synapses per 100um^2 neuropil,neuropil,25.76,macaque,prefrontal,296,NA,96.75,Rakic 1986,prefrontal,no
Prefrontal (area 9),297.39,synapses per 100um^2 neuropil,neuropil,22.49,macaque,prefrontal,297,NA,84.46,Rakic 1986,prefrontal,no
Prefrontal (area 9),265.19,synapses per 100um^2 neuropil,neuropil,20.11,macaque,prefrontal,265,NA,75.55,Rakic 1986,prefrontal,no
Prefrontal (area 9),386.35,synapses per 100um^2 neuropil,neuropil,22.56,macaque,prefrontal,386,NA,84.73,Rakic 1986,prefrontal,no
Prefrontal (area 9),385.09,synapses per 100um^2 neuropil,neuropil,23.86,macaque,prefrontal,385,NA,89.62,Rakic 1986,prefrontal,no
Prefrontal (area 9),462.05,synapses per 100um^2 neuropil,neuropil,20.72,macaque,prefrontal,462,NA,77.84,Rakic 1986,prefrontal,no
Prefrontal (area 9),781.81,synapses per 100um^2 neuropil,neuropil,20.73,macaque,prefrontal,782,NA,77.87,Rakic 1986,prefrontal,no
Prefrontal (area 9),784.42,synapses per 100um^2 neuropil,neuropil,19.33,macaque,prefrontal,784,NA,72.6,Rakic 1986,prefrontal,no
Prefrontal (area 9),1884.59,synapses per 100um^2 neuropil,neuropil,19.44,macaque,prefrontal,1885,NA,73.03,Rakic 1986,prefrontal,no
Prefrontal (area 9),1872.76,synapses per 100um^2 neuropil,neuropil,17.64,macaque,prefrontal,1873,NA,66.25,Rakic 1986,prefrontal,no
Prefrontal (area 9),3644.36,synapses per 100um^2 neuropil,neuropil,19.15,macaque,prefrontal,3644,NA,71.93,Rakic 1986,prefrontal,no
Prefrontal (area 9),3647.52,synapses per 100um^2 neuropil,neuropil,17.75,macaque,prefrontal,3648,NA,66.67,Rakic 1986,prefrontal,no
Prefrontal (area 9),7590.8,synapses per 100um^2 neuropil,neuropil,18.53,macaque,prefrontal,7591,NA,69.59,Rakic 1986,prefrontal,no
Prefrontal (area 9),7590.68,synapses per 100um^2 neuropil,neuropil,14.55,macaque,prefrontal,7591,NA,54.67,Rakic 1986,prefrontal,no
Prefrontal (area 9),7576.8,synapses per 100um^2 neuropil,neuropil,13.52,macaque,prefrontal,7577,NA,50.78,Rakic 1986,prefrontal,no
Visual (area 17),142.67,synapses per 100um^2 neuropil,neuropil,6.47,macaque,visual,143,NA,17.54,Rakic 1986,visual,no
Visual (area 17),142.28,synapses per 100um^2 neuropil,neuropil,8.18,macaque,visual,142,NA,22.16,Rakic 1986,visual,no
Visual (area 17),171.74,synapses per 100um^2 neuropil,neuropil,18.5,macaque,visual,172,NA,50.14,Rakic 1986,visual,no
Visual (area 17),185.24,synapses per 100um^2 neuropil,neuropil,19.15,macaque,visual,185,NA,51.89,Rakic 1986,visual,no
Visual (area 17),171.27,synapses per 100um^2 neuropil,neuropil,19.9,macaque,visual,171,NA,53.92,Rakic 1986,visual,no
Visual (area 17),184.24,synapses per 100um^2 neuropil,neuropil,21.91,macaque,visual,184,NA,59.37,Rakic 1986,visual,no
Visual (area 17),191.81,synapses per 100um^2 neuropil,neuropil,23.1,macaque,visual,192,NA,62.6,Rakic 1986,visual,no
Visual (area 17),192.26,synapses per 100um^2 neuropil,neuropil,24.74,macaque,visual,192,NA,67.04,Rakic 1986,visual,no
Visual (area 17),191.73,synapses per 100um^2 neuropil,neuropil,26.68,macaque,visual,192,NA,72.3,Rakic 1986,visual,no
Visual (area 17),191.66,synapses per 100um^2 neuropil,neuropil,29.51,macaque,visual,192,NA,79.96,Rakic 1986,visual,no
Visual (area 17),239.35,synapses per 100um^2 neuropil,neuropil,30.22,macaque,visual,239,NA,81.9,Rakic 1986,visual,no
Visual (area 17),237.61,synapses per 100um^2 neuropil,neuropil,27.9,macaque,visual,238,NA,75.62,Rakic 1986,visual,no
Visual (area 17),237.65,synapses per 100um^2 neuropil,neuropil,26.58,macaque,visual,238,NA,72.02,Rakic 1986,visual,no
Visual (area 17),249.33,synapses per 100um^2 neuropil,neuropil,26.75,macaque,visual,249,NA,72.48,Rakic 1986,visual,no
Visual (area 17),292.19,synapses per 100um^2 neuropil,neuropil,30.83,macaque,visual,292,NA,83.56,Rakic 1986,visual,no
Visual (area 17),293.59,synapses per 100um^2 neuropil,neuropil,33.08,macaque,visual,294,NA,89.66,Rakic 1986,visual,no
Visual (area 17),286.13,synapses per 100um^2 neuropil,neuropil,36.9,macaque,visual,286,NA,100,Rakic 1986,visual,no
Visual (area 17),300.21,synapses per 100um^2 neuropil,neuropil,36.52,macaque,visual,300,NA,98.98,Rakic 1986,visual,no
